Training Naive Bayes classifier with tfidf mode...
Naive Bayes training complete.

=Performance Metrics:
Confusion Matrix:
[977, 2023]
[257, 925]
Accuracy: 0.4548
Precision: 0.7917
Recall: 0.3257
F1 Score: 0.4615

Predictions Log:
Doc ID, Predicted Class, Actual Class
266, negative, positive
267, positive, positive
268, positive, positive
269, positive, positive
270, negative, positive
271, positive, positive
272, positive, positive
273, positive, positive
274, positive, positive
275, positive, positive
276, positive, positive
277, positive, positive
278, positive, positive
279, positive, positive
280, positive, positive
281, positive, positive
282, positive, positive
283, negative, positive
284, positive, positive
285, positive, positive
286, positive, positive
287, positive, positive
288, negative, positive
289, positive, positive
290, positive, positive
291, positive, positive
292, positive, positive
293, negative, positive
294, positive, positive
295, positive, positive
296, positive, positive
297, positive, positive
298, positive, positive
299, negative, positive
300, positive, positive
301, positive, positive
302, negative, positive
303, positive, positive
304, positive, positive
305, positive, positive
306, positive, positive
307, negative, positive
308, positive, positive
309, positive, positive
310, negative, positive
311, negative, positive
312, positive, positive
313, positive, positive
314, positive, positive
315, positive, positive
316, positive, positive
317, positive, positive
318, positive, positive
319, positive, positive
320, positive, positive
321, positive, positive
322, positive, positive
323, negative, positive
324, positive, positive
325, positive, positive
326, positive, positive
327, positive, positive
328, positive, positive
329, positive, positive
330, positive, positive
331, positive, positive
332, positive, positive
333, negative, positive
334, positive, positive
335, positive, positive
336, positive, positive
337, positive, positive
338, positive, positive
339, negative, positive
340, positive, positive
341, negative, positive
342, negative, positive
343, positive, positive
344, negative, positive
345, positive, positive
346, positive, positive
347, positive, positive
348, positive, positive
349, positive, positive
350, positive, positive
351, negative, positive
352, positive, positive
353, positive, positive
354, positive, positive
355, positive, positive
356, positive, positive
357, positive, positive
358, negative, positive
359, positive, positive
360, positive, positive
361, positive, positive
362, positive, positive
363, negative, positive
364, positive, positive
365, positive, positive
366, positive, positive
367, negative, positive
368, positive, positive
369, positive, positive
370, negative, positive
371, negative, positive
372, positive, positive
373, positive, positive
374, negative, positive
375, negative, positive
376, positive, positive
377, positive, positive
378, positive, positive
379, positive, positive
380, negative, positive
381, positive, positive
382, positive, positive
383, positive, positive
384, positive, positive
385, positive, positive
386, positive, positive
387, positive, positive
388, positive, positive
389, negative, positive
390, negative, positive
391, positive, positive
392, positive, positive
393, positive, positive
394, negative, positive
395, positive, positive
396, positive, positive
397, negative, positive
398, positive, positive
399, positive, positive
400, positive, positive
401, positive, positive
402, positive, positive
403, positive, positive
404, positive, positive
405, positive, positive
406, negative, positive
407, positive, positive
408, negative, positive
409, positive, positive
410, positive, positive
411, positive, positive
412, negative, positive
413, positive, positive
414, negative, positive
415, negative, positive
416, positive, positive
417, positive, positive
418, positive, positive
419, negative, positive
420, positive, positive
421, negative, positive
422, positive, positive
423, positive, positive
424, positive, positive
425, positive, positive
426, positive, positive
427, positive, positive
428, positive, positive
429, positive, positive
430, positive, positive
431, positive, positive
432, positive, positive
433, positive, positive
434, positive, positive
435, negative, positive
436, positive, positive
437, negative, positive
438, negative, positive
439, positive, positive
440, positive, positive
441, negative, positive
442, negative, positive
443, positive, positive
444, positive, positive
445, positive, positive
446, positive, positive
447, positive, positive
448, negative, positive
449, negative, positive
450, positive, positive
451, positive, positive
452, negative, positive
453, negative, positive
454, negative, positive
455, positive, positive
456, positive, positive
457, positive, positive
458, positive, positive
459, positive, positive
460, positive, positive
461, positive, positive
462, positive, positive
463, positive, positive
464, negative, positive
465, positive, positive
466, positive, positive
467, positive, positive
468, positive, positive
469, positive, positive
470, positive, positive
471, positive, positive
472, negative, positive
473, negative, positive
474, negative, positive
475, positive, positive
476, positive, positive
477, negative, positive
478, positive, positive
479, positive, positive
480, positive, positive
481, positive, positive
482, positive, positive
483, positive, positive
484, negative, positive
485, positive, positive
486, positive, positive
487, positive, positive
488, positive, positive
489, positive, positive
490, negative, positive
491, negative, positive
492, positive, positive
493, positive, positive
494, positive, positive
495, negative, positive
496, negative, positive
497, positive, positive
498, positive, positive
499, positive, positive
500, negative, positive
501, negative, positive
502, negative, positive
503, positive, positive
504, positive, positive
505, positive, positive
506, positive, positive
507, positive, positive
508, positive, positive
509, positive, positive
510, negative, positive
511, positive, positive
512, positive, positive
513, negative, positive
514, positive, positive
515, positive, positive
516, positive, positive
517, positive, positive
518, positive, positive
519, positive, positive
520, positive, positive
521, positive, positive
522, positive, positive
523, positive, positive
524, positive, positive
525, positive, positive
526, positive, positive
527, positive, positive
528, positive, positive
529, positive, positive
530, positive, positive
531, positive, positive
532, negative, positive
533, positive, positive
534, positive, positive
535, positive, positive
536, positive, positive
537, positive, positive
538, positive, positive
539, positive, positive
540, positive, positive
541, positive, positive
542, negative, positive
543, positive, positive
544, positive, positive
545, positive, positive
546, positive, positive
547, positive, positive
548, positive, positive
549, positive, positive
550, positive, positive
551, positive, positive
552, positive, positive
553, positive, positive
554, positive, positive
555, positive, positive
556, positive, positive
557, negative, positive
558, positive, positive
559, positive, positive
560, positive, positive
561, positive, positive
562, positive, positive
563, positive, positive
564, positive, positive
565, negative, positive
566, positive, positive
567, positive, positive
568, positive, positive
569, positive, positive
570, positive, positive
571, positive, positive
572, positive, positive
573, negative, positive
574, positive, positive
575, positive, positive
576, negative, positive
577, positive, positive
578, positive, positive
579, negative, positive
580, positive, positive
581, positive, positive
582, positive, positive
583, negative, positive
584, positive, positive
585, positive, positive
586, positive, positive
587, positive, positive
588, positive, positive
589, positive, positive
590, positive, positive
591, negative, positive
592, positive, positive
593, positive, positive
594, positive, positive
595, positive, positive
596, negative, positive
597, negative, positive
598, negative, positive
599, positive, positive
600, positive, positive
601, positive, positive
602, positive, positive
603, positive, positive
604, positive, positive
605, positive, positive
606, positive, positive
607, negative, positive
608, positive, positive
609, positive, positive
610, positive, positive
611, positive, positive
612, positive, positive
613, negative, positive
614, positive, positive
615, positive, positive
616, positive, positive
617, positive, positive
618, positive, positive
619, negative, positive
620, positive, positive
621, positive, positive
622, negative, positive
623, negative, positive
624, positive, positive
625, negative, positive
626, negative, positive
627, positive, positive
628, negative, positive
629, negative, positive
630, positive, positive
631, positive, positive
632, positive, positive
633, positive, positive
634, negative, positive
635, positive, positive
636, positive, positive
637, positive, positive
638, positive, positive
639, positive, positive
640, positive, positive
641, negative, positive
642, positive, positive
643, positive, positive
644, negative, positive
645, positive, positive
646, positive, positive
647, positive, positive
648, positive, positive
649, positive, positive
650, positive, positive
651, positive, positive
652, positive, positive
653, positive, positive
654, positive, positive
655, positive, positive
656, negative, positive
657, positive, positive
658, positive, positive
659, positive, positive
660, negative, positive
661, negative, positive
662, positive, positive
663, positive, positive
664, negative, positive
665, negative, positive
666, positive, positive
667, positive, positive
668, positive, positive
669, positive, positive
670, negative, positive
671, negative, positive
672, positive, positive
673, positive, positive
674, positive, positive
675, positive, positive
676, positive, positive
677, negative, positive
678, negative, positive
679, positive, positive
680, positive, positive
681, positive, positive
682, positive, positive
683, positive, positive
684, positive, positive
685, positive, positive
686, positive, positive
687, positive, positive
688, negative, positive
689, negative, positive
690, negative, positive
691, positive, positive
692, positive, positive
693, positive, positive
694, positive, positive
695, positive, positive
696, positive, positive
697, positive, positive
698, positive, positive
699, positive, positive
700, positive, positive
701, positive, positive
702, positive, positive
703, positive, positive
704, positive, positive
705, positive, positive
706, positive, positive
707, negative, positive
708, negative, positive
709, positive, positive
710, positive, positive
711, positive, positive
712, negative, positive
713, positive, positive
714, positive, positive
715, positive, positive
716, positive, positive
717, positive, positive
718, negative, positive
719, negative, positive
720, positive, positive
721, positive, positive
722, positive, positive
723, positive, positive
724, positive, positive
725, positive, positive
726, positive, positive
727, positive, positive
728, positive, positive
729, positive, positive
730, negative, positive
731, negative, positive
732, positive, positive
733, positive, positive
734, positive, positive
735, positive, positive
736, negative, positive
737, positive, positive
738, positive, positive
739, positive, positive
740, positive, positive
741, positive, positive
742, negative, positive
743, negative, positive
744, positive, positive
745, positive, positive
746, positive, positive
747, negative, positive
748, negative, positive
749, positive, positive
750, positive, positive
751, positive, positive
752, positive, positive
753, positive, positive
754, positive, positive
755, positive, positive
756, positive, positive
757, positive, positive
758, positive, positive
759, negative, positive
760, positive, positive
761, positive, positive
762, positive, positive
763, negative, positive
764, positive, positive
765, negative, positive
766, positive, positive
767, positive, positive
768, positive, positive
769, positive, positive
770, positive, positive
771, positive, positive
772, positive, positive
773, positive, positive
774, positive, positive
775, negative, positive
776, positive, positive
777, positive, positive
778, negative, positive
779, positive, positive
780, positive, positive
781, positive, positive
782, positive, positive
783, positive, positive
784, positive, positive
785, positive, positive
786, positive, positive
787, positive, positive
788, positive, positive
789, positive, positive
790, positive, positive
791, positive, positive
792, positive, positive
793, positive, positive
794, negative, positive
795, negative, positive
796, positive, positive
797, negative, positive
798, positive, positive
799, positive, positive
800, positive, positive
801, positive, positive
802, positive, positive
803, positive, positive
804, positive, positive
805, positive, positive
806, positive, positive
807, positive, positive
808, positive, positive
809, positive, positive
810, positive, positive
811, negative, positive
812, positive, positive
813, negative, positive
814, positive, positive
815, positive, positive
816, positive, positive
817, positive, positive
818, positive, positive
819, negative, positive
820, positive, positive
821, positive, positive
822, negative, positive
823, negative, positive
824, positive, positive
825, positive, positive
826, positive, positive
827, positive, positive
828, negative, positive
829, negative, positive
830, positive, positive
831, positive, positive
832, positive, positive
833, positive, positive
834, positive, positive
835, positive, positive
836, positive, positive
837, positive, positive
838, positive, positive
839, positive, positive
840, positive, positive
841, positive, positive
842, positive, positive
843, negative, positive
844, positive, positive
845, positive, positive
846, negative, positive
847, positive, positive
848, negative, positive
849, positive, positive
850, positive, positive
851, positive, positive
852, positive, positive
853, positive, positive
854, positive, positive
855, positive, positive
856, positive, positive
857, positive, positive
858, positive, positive
859, positive, positive
860, negative, positive
861, positive, positive
862, positive, positive
863, positive, positive
864, positive, positive
865, positive, positive
866, positive, positive
867, negative, positive
868, positive, positive
869, positive, positive
870, positive, positive
871, positive, positive
872, positive, positive
873, positive, positive
874, positive, positive
875, positive, positive
876, positive, positive
877, positive, positive
878, positive, positive
879, positive, positive
880, positive, positive
881, negative, positive
882, positive, positive
883, positive, positive
884, positive, positive
885, positive, positive
886, positive, positive
887, positive, positive
888, positive, positive
889, positive, positive
890, positive, positive
891, positive, positive
892, positive, positive
893, negative, positive
894, negative, positive
895, positive, positive
896, positive, positive
897, negative, positive
898, positive, positive
899, positive, positive
900, negative, positive
901, positive, positive
902, positive, positive
903, positive, positive
904, positive, positive
905, positive, positive
906, negative, positive
907, negative, positive
908, positive, positive
909, positive, positive
910, positive, positive
911, positive, positive
912, negative, positive
913, positive, positive
914, positive, positive
915, positive, positive
916, negative, positive
917, positive, positive
918, positive, positive
919, positive, positive
920, negative, positive
921, positive, positive
922, positive, positive
923, positive, positive
924, negative, positive
925, negative, positive
926, positive, positive
927, positive, positive
928, positive, positive
929, positive, positive
930, positive, positive
931, negative, positive
932, positive, positive
933, positive, positive
934, positive, positive
935, positive, positive
936, negative, positive
937, positive, positive
938, positive, positive
939, negative, positive
940, negative, positive
941, positive, positive
942, negative, positive
943, positive, positive
944, positive, positive
945, positive, positive
946, negative, positive
947, positive, positive
948, positive, positive
949, positive, positive
950, positive, positive
951, negative, positive
952, positive, positive
953, negative, positive
954, negative, positive
955, positive, positive
956, negative, positive
957, positive, positive
958, negative, positive
959, positive, positive
960, positive, positive
961, positive, positive
962, positive, positive
963, positive, positive
964, negative, positive
965, negative, positive
966, positive, positive
967, positive, positive
968, negative, positive
969, positive, positive
970, positive, positive
971, positive, positive
972, positive, positive
973, negative, positive
974, negative, positive
975, negative, positive
976, positive, positive
977, positive, positive
978, positive, positive
979, negative, positive
980, positive, positive
981, positive, positive
982, positive, positive
983, positive, positive
984, positive, positive
985, negative, positive
986, positive, positive
987, negative, positive
988, positive, positive
989, positive, positive
990, positive, positive
991, negative, positive
992, positive, positive
993, negative, positive
994, negative, positive
995, negative, positive
996, positive, positive
997, positive, positive
998, positive, positive
999, negative, positive
1000, positive, positive
1001, positive, positive
1002, positive, positive
1003, positive, positive
1004, positive, positive
1005, positive, positive
1006, negative, positive
1007, negative, positive
1008, positive, positive
1009, positive, positive
1010, negative, positive
1011, positive, positive
1012, positive, positive
1013, positive, positive
1014, negative, positive
1015, negative, positive
1016, positive, positive
1017, positive, positive
1018, positive, positive
1019, positive, positive
1020, positive, positive
1021, positive, positive
1022, negative, positive
1023, positive, positive
1024, positive, positive
1025, negative, positive
1026, negative, positive
1027, positive, positive
1028, positive, positive
1029, positive, positive
1030, positive, positive
1031, positive, positive
1032, positive, positive
1033, positive, positive
1034, negative, positive
1035, positive, positive
1036, positive, positive
1037, positive, positive
1038, positive, positive
1039, positive, positive
1040, positive, positive
1041, negative, positive
1042, positive, positive
1043, positive, positive
1044, positive, positive
1045, positive, positive
1046, negative, positive
1047, positive, positive
1048, positive, positive
1049, positive, positive
1050, positive, positive
1051, positive, positive
1052, negative, positive
1053, negative, positive
1054, positive, positive
1055, positive, positive
1056, positive, positive
1057, positive, positive
1058, positive, positive
1059, positive, positive
1060, positive, positive
1061, positive, positive
1062, positive, positive
1063, positive, positive
1064, positive, positive
1065, positive, positive
1066, positive, positive
1067, positive, positive
1068, positive, positive
1069, negative, positive
1070, negative, positive
1071, positive, positive
1072, positive, positive
1073, negative, positive
1074, positive, positive
1075, negative, positive
1076, negative, positive
1077, positive, positive
1078, negative, positive
1079, positive, positive
1080, positive, positive
1081, negative, positive
1082, negative, positive
1083, positive, positive
1084, positive, positive
1085, negative, positive
1086, positive, positive
1087, positive, positive
1088, negative, positive
1089, positive, positive
1090, negative, positive
1091, positive, positive
1092, positive, positive
1093, negative, positive
1094, positive, positive
1095, positive, positive
1096, positive, positive
1097, positive, positive
1098, positive, positive
1099, positive, positive
1100, negative, positive
1101, negative, positive
1102, positive, positive
1103, negative, positive
1104, positive, positive
1105, positive, positive
1106, positive, positive
1107, positive, positive
1108, positive, positive
1109, positive, positive
1110, positive, positive
1111, positive, positive
1112, positive, positive
1113, positive, positive
1114, positive, positive
1115, positive, positive
1116, negative, positive
1117, positive, positive
1118, positive, positive
1119, positive, positive
1120, positive, positive
1121, positive, positive
1122, positive, positive
1123, positive, positive
1124, positive, positive
1125, positive, positive
1126, negative, positive
1127, positive, positive
1128, positive, positive
1129, positive, positive
1130, positive, positive
1131, positive, positive
1132, negative, positive
1133, negative, positive
1134, positive, positive
1135, positive, positive
1136, positive, positive
1137, negative, positive
1138, negative, positive
1139, positive, positive
1140, negative, positive
1141, positive, positive
1142, positive, positive
1143, negative, positive
1144, positive, positive
1145, positive, positive
1146, negative, positive
1147, negative, positive
1148, positive, positive
1149, positive, positive
1150, positive, positive
1151, positive, positive
1152, positive, positive
1153, positive, positive
1154, negative, positive
1155, positive, positive
1156, positive, positive
1157, positive, positive
1158, positive, positive
1159, positive, positive
1160, positive, positive
1161, negative, positive
1162, positive, positive
1163, positive, positive
1164, positive, positive
1165, positive, positive
1166, negative, positive
1167, positive, positive
1168, positive, positive
1169, negative, positive
1170, positive, positive
1171, positive, positive
1172, positive, positive
1173, positive, positive
1174, negative, positive
1175, positive, positive
1176, negative, positive
1177, negative, positive
1178, positive, positive
1179, positive, positive
1180, positive, positive
1181, positive, positive
1182, positive, positive
1183, negative, negative
1184, positive, negative
1185, negative, negative
1186, positive, negative
1187, negative, negative
1188, positive, negative
1189, positive, negative
1190, positive, negative
1191, positive, negative
1192, positive, negative
1193, positive, negative
1194, positive, negative
1195, positive, negative
1196, positive, negative
1197, negative, negative
1198, positive, negative
1199, positive, negative
1200, negative, negative
1201, negative, negative
1202, positive, negative
1203, positive, negative
1204, positive, negative
1205, positive, negative
1206, positive, negative
1207, positive, negative
1208, negative, negative
1209, negative, negative
1210, negative, negative
1211, positive, negative
1212, positive, negative
1213, negative, negative
1214, positive, negative
1215, negative, negative
1216, positive, negative
1217, positive, negative
1218, positive, negative
1219, positive, negative
1220, positive, negative
1221, positive, negative
1222, negative, negative
1223, positive, negative
1224, positive, negative
1225, positive, negative
1226, positive, negative
1227, positive, negative
1228, positive, negative
1229, negative, negative
1230, positive, negative
1231, negative, negative
1232, positive, negative
1233, positive, negative
1234, negative, negative
1235, positive, negative
1236, positive, negative
1237, positive, negative
1238, negative, negative
1239, positive, negative
1240, negative, negative
1241, negative, negative
1242, positive, negative
1243, negative, negative
1244, positive, negative
1245, positive, negative
1246, positive, negative
1247, negative, negative
1248, positive, negative
1249, positive, negative
1250, negative, negative
1251, positive, negative
1252, positive, negative
1253, negative, negative
1254, negative, negative
1255, negative, negative
1256, positive, negative
1257, positive, negative
1258, positive, negative
1259, positive, negative
1260, positive, negative
1261, positive, negative
1262, positive, negative
1263, positive, negative
1264, negative, negative
1265, negative, negative
1266, negative, negative
1267, positive, negative
1268, positive, negative
1269, negative, negative
1270, positive, negative
1271, positive, negative
1272, negative, negative
1273, positive, negative
1274, positive, negative
1275, negative, negative
1276, negative, negative
1277, negative, negative
1278, positive, negative
1279, negative, negative
1280, positive, negative
1281, positive, negative
1282, negative, negative
1283, positive, negative
1284, positive, negative
1285, positive, negative
1286, negative, negative
1287, positive, negative
1288, negative, negative
1289, positive, negative
1290, negative, negative
1291, positive, negative
1292, positive, negative
1293, negative, negative
1294, positive, negative
1295, positive, negative
1296, positive, negative
1297, positive, negative
1298, positive, negative
1299, positive, negative
1300, positive, negative
1301, positive, negative
1302, positive, negative
1303, positive, negative
1304, positive, negative
1305, negative, negative
1306, positive, negative
1307, negative, negative
1308, negative, negative
1309, positive, negative
1310, positive, negative
1311, negative, negative
1312, positive, negative
1313, positive, negative
1314, negative, negative
1315, positive, negative
1316, positive, negative
1317, positive, negative
1318, negative, negative
1319, negative, negative
1320, positive, negative
1321, positive, negative
1322, positive, negative
1323, negative, negative
1324, positive, negative
1325, positive, negative
1326, positive, negative
1327, positive, negative
1328, negative, negative
1329, positive, negative
1330, positive, negative
1331, positive, negative
1332, positive, negative
1333, positive, negative
1334, positive, negative
1335, positive, negative
1336, negative, negative
1337, positive, negative
1338, negative, negative
1339, positive, negative
1340, negative, negative
1341, positive, negative
1342, positive, negative
1343, positive, negative
1344, negative, negative
1345, negative, negative
1346, negative, negative
1347, positive, negative
1348, negative, negative
1349, positive, negative
1350, positive, negative
1351, negative, negative
1352, positive, negative
1353, positive, negative
1354, positive, negative
1355, negative, negative
1356, positive, negative
1357, positive, negative
1358, positive, negative
1359, positive, negative
1360, positive, negative
1361, negative, negative
1362, positive, negative
1363, negative, negative
1364, negative, negative
1365, positive, negative
1366, positive, negative
1367, positive, negative
1368, negative, negative
1369, positive, negative
1370, negative, negative
1371, negative, negative
1372, positive, negative
1373, positive, negative
1374, positive, negative
1375, negative, negative
1376, positive, negative
1377, positive, negative
1378, positive, negative
1379, positive, negative
1380, positive, negative
1381, negative, negative
1382, negative, negative
1383, negative, negative
1384, positive, negative
1385, positive, negative
1386, negative, negative
1387, positive, negative
1388, positive, negative
1389, positive, negative
1390, negative, negative
1391, positive, negative
1392, positive, negative
1393, positive, negative
1394, positive, negative
1395, positive, negative
1396, negative, negative
1397, positive, negative
1398, positive, negative
1399, negative, negative
1400, positive, negative
1401, positive, negative
1402, negative, negative
1403, negative, negative
1404, positive, negative
1405, positive, negative
1406, positive, negative
1407, positive, negative
1408, positive, negative
1409, positive, negative
1410, positive, negative
1411, negative, negative
1412, negative, negative
1413, positive, negative
1414, positive, negative
1415, positive, negative
1416, positive, negative
1417, positive, negative
1418, negative, negative
1419, positive, negative
1420, positive, negative
1421, positive, negative
1422, positive, negative
1423, positive, negative
1424, negative, negative
1425, negative, negative
1426, negative, negative
1427, negative, negative
1428, positive, negative
1429, positive, negative
1430, positive, negative
1431, positive, negative
1432, positive, negative
1433, negative, negative
1434, positive, negative
1435, negative, negative
1436, negative, negative
1437, negative, negative
1438, positive, negative
1439, positive, negative
1440, positive, negative
1441, positive, negative
1442, positive, negative
1443, positive, negative
1444, positive, negative
1445, positive, negative
1446, positive, negative
1447, positive, negative
1448, positive, negative
1449, positive, negative
1450, positive, negative
1451, positive, negative
1452, positive, negative
1453, positive, negative
1454, negative, negative
1455, negative, negative
1456, positive, negative
1457, negative, negative
1458, positive, negative
1459, positive, negative
1460, positive, negative
1461, negative, negative
1462, positive, negative
1463, negative, negative
1464, positive, negative
1465, positive, negative
1466, positive, negative
1467, positive, negative
1468, positive, negative
1469, positive, negative
1470, positive, negative
1471, positive, negative
1472, positive, negative
1473, positive, negative
1474, positive, negative
1475, positive, negative
1476, positive, negative
1477, positive, negative
1478, positive, negative
1479, positive, negative
1480, positive, negative
1481, negative, negative
1482, positive, negative
1483, negative, negative
1484, negative, negative
1485, positive, negative
1486, negative, negative
1487, positive, negative
1488, positive, negative
1489, positive, negative
1490, positive, negative
1491, positive, negative
1492, negative, negative
1493, positive, negative
1494, negative, negative
1495, negative, negative
1496, positive, negative
1497, positive, negative
1498, positive, negative
1499, positive, negative
1500, positive, negative
1501, positive, negative
1502, positive, negative
1503, positive, negative
1504, negative, negative
1505, positive, negative
1506, positive, negative
1507, positive, negative
1508, negative, negative
1509, negative, negative
1510, positive, negative
1511, positive, negative
1512, negative, negative
1513, negative, negative
1514, positive, negative
1515, positive, negative
1516, positive, negative
1517, positive, negative
1518, negative, negative
1519, positive, negative
1520, positive, negative
1521, negative, negative
1522, positive, negative
1523, positive, negative
1524, negative, negative
1525, positive, negative
1526, positive, negative
1527, positive, negative
1528, positive, negative
1529, positive, negative
1530, positive, negative
1531, positive, negative
1532, positive, negative
1533, positive, negative
1534, positive, negative
1535, positive, negative
1536, negative, negative
1537, positive, negative
1538, positive, negative
1539, positive, negative
1540, negative, negative
1541, negative, negative
1542, positive, negative
1543, positive, negative
1544, positive, negative
1545, positive, negative
1546, negative, negative
1547, positive, negative
1548, positive, negative
1549, negative, negative
1550, positive, negative
1551, positive, negative
1552, positive, negative
1553, positive, negative
1554, negative, negative
1555, positive, negative
1556, positive, negative
1557, positive, negative
1558, positive, negative
1559, positive, negative
1560, negative, negative
1561, negative, negative
1562, positive, negative
1563, positive, negative
1564, positive, negative
1565, negative, negative
1566, positive, negative
1567, positive, negative
1568, positive, negative
1569, positive, negative
1570, positive, negative
1571, negative, negative
1572, negative, negative
1573, negative, negative
1574, positive, negative
1575, negative, negative
1576, positive, negative
1577, positive, negative
1578, negative, negative
1579, positive, negative
1580, positive, negative
1581, positive, negative
1582, positive, negative
1583, positive, negative
1584, negative, negative
1585, negative, negative
1586, negative, negative
1587, positive, negative
1588, negative, negative
1589, positive, negative
1590, positive, negative
1591, positive, negative
1592, positive, negative
1593, positive, negative
1594, positive, negative
1595, positive, negative
1596, positive, negative
1597, positive, negative
1598, negative, negative
1599, positive, negative
1600, positive, negative
1601, negative, negative
1602, negative, negative
1603, negative, negative
1604, positive, negative
1605, negative, negative
1606, negative, negative
1607, positive, negative
1608, positive, negative
1609, positive, negative
1610, positive, negative
1611, positive, negative
1612, positive, negative
1613, positive, negative
1614, positive, negative
1615, positive, negative
1616, negative, negative
1617, positive, negative
1618, positive, negative
1619, negative, negative
1620, positive, negative
1621, positive, negative
1622, positive, negative
1623, positive, negative
1624, positive, negative
1625, negative, negative
1626, positive, negative
1627, positive, negative
1628, positive, negative
1629, positive, negative
1630, positive, negative
1631, negative, negative
1632, positive, negative
1633, positive, negative
1634, positive, negative
1635, positive, negative
